municipality_name,municipality_code,municipality_name_machine_friendly,region_id,region_name
Oostzaan,GM0431,Oostzaan,RE04,Noord-Holland
Opmeer,GM0432,Opmeer,RE04,Noord-Holland
Opsterland,GM0086,Opsterland,RE01,Noord-Nederland
Oss,GM0828,Oss,RE09,Oost-Brabant
Oude IJsselstreek,GM1509,OudeIJsselstreek,RE02,Oost-Nederland
Ouder-Amstel,GM0437,Ouder-Amstel,RE05,Amsterdam
Oudewater,GM0589,Oudewater,RE03,Midden-Nederland
Overbetuwe,GM1734,Overbetuwe,RE02,Oost-Nederland
Papendrecht,GM0590,Papendrecht,RE07,Rotterdam
Peel en Maas,GM1894,PeelenMaas,RE10,Limburg
Pekela,GM0765,Pekela,RE01,Noord-Nederland
Pijnacker-Nootdorp,GM1926,Pijnacker-Nootdorp,RE06,DenHaag
Purmerend,GM0439,Purmerend,RE04,Noord-Holland
Putten,GM0273,Putten,RE02,Oost-Nederland
Raalte,GM0177,Raalte,RE02,Oost-Nederland
Reimerswaal,GM0703,Reimerswaal,RE08,Zeeland-West-Brabant
Renkum,GM0274,Renkum,RE02,Oost-Nederland
Renswoude,GM0339,Renswoude,RE03,Midden-Nederland
Reusel-De Mierden,GM1667,Reusel-DeMierden,RE09,Oost-Brabant
Rheden,GM0275,Rheden,RE02,Oost-Nederland
Rhenen,GM0340,Rhenen,RE03,Midden-Nederland
Ridderkerk,GM0597,Ridderkerk,RE07,Rotterdam
Rijssen-Holten,GM1742,Rijssen-Holten,RE02,Oost-Nederland
Rijswijk (ZH.),GM0603,Rijswijk,RE06,DenHaag
Roerdalen,GM1669,Roerdalen,RE10,Limburg
Roermond,GM0957,Roermond,RE10,Limburg
De Ronde Venen,GM0736,DeRondeVenen,RE03,Midden-Nederland
Roosendaal,GM1674,Roosendaal,RE08,Zeeland-West-Brabant
Rotterdam,GM0599,Rotterdam,RE07,Rotterdam
Rozendaal,GM0277,Rozendaal,RE02,Oost-Nederland
Rucphen,GM0840,Rucphen,RE08,Zeeland-West-Brabant
Schagen,GM0441,Schagen,RE04,Noord-Holland
Scherpenzeel,GM0279,Scherpenzeel,RE02,Oost-Nederland
Schiedam,GM0606,Schiedam,RE07,Rotterdam
Schiermonnikoog,GM0088,Schiermonnikoog,RE01,Noord-Nederland
Schouwen-Duiveland,GM1676,Schouwen-Duiveland,RE08,Zeeland-West-Brabant
Simpelveld,GM0965,Simpelveld,RE10,Limburg
Sint Anthonis,GM1702,SintAnthonis,RE09,Oost-Brabant
Sint-Michielsgestel,GM0845,Sint-Michielsgestel,RE09,Oost-Brabant
Sittard-Geleen,GM1883,Sittard-Geleen,RE10,Limburg
Sliedrecht,GM0610,Sliedrecht,RE07,Rotterdam
Sluis,GM1714,Sluis,RE08,Zeeland-West-Brabant
Smallingerland,GM0090,Smallingerland,RE01,Noord-Nederland
Soest,GM0342,Soest,RE03,Midden-Nederland
Someren,GM0847,Someren,RE09,Oost-Brabant
Son en Breugel,GM0848,SonenBreugel,RE09,Oost-Brabant
Stadskanaal,GM0037,Stadskanaal,RE01,Noord-Nederland
Staphorst,GM0180,Staphorst,RE02,Oost-Nederland
Stede Broec,GM0532,StedeBroec,RE04,Noord-Holland
Steenbergen,GM0851,Steenbergen,RE08,Zeeland-West-Brabant
Steenwijkerland,GM1708,Steenwijkerland,RE02,Oost-Nederland
Stein (L.),GM0971,Stein,RE10,Limburg
Stichtse Vecht,GM1904,StichtseVecht,RE03,Midden-Nederland
Súdwest-Fryslân,GM1900,Súdwest-Fryslân,RE01,Noord-Nederland
Terneuzen,GM0715,Terneuzen,RE08,Zeeland-West-Brabant
Terschelling,GM0093,Terschelling,RE01,Noord-Nederland
Texel,GM0448,Texel,RE04,Noord-Holland
Teylingen,GM1525,Teylingen,RE06,DenHaag
Tholen,GM0716,Tholen,RE08,Zeeland-West-Brabant
Tiel,GM0281,Tiel,RE02,Oost-Nederland
Tilburg,GM0855,Tilburg,RE08,Zeeland-West-Brabant
Tubbergen,GM0183,Tubbergen,RE02,Oost-Nederland
Twenterand,GM1700,Twenterand,RE02,Oost-Nederland
Tynaarlo,GM1730,Tynaarlo,RE01,Noord-Nederland
Tytsjerksteradiel,GM0737,Tytsjerksteradiel,RE01,Noord-Nederland
Uden,GM0856,Uden,RE09,Oost-Brabant
Uitgeest,GM0450,Uitgeest,RE04,Noord-Holland
Uithoorn,GM0451,Uithoorn,RE05,Amsterdam
Urk,GM0184,Urk,RE03,Midden-Nederland
Utrecht (gemeente),GM0344,Utrecht,RE03,Midden-Nederland
Utrechtse Heuvelrug,GM1581,UtrechtseHeuvelrug,RE03,Midden-Nederland
Vaals,GM0981,Vaals,RE10,Limburg
Valkenburg aan de Geul,GM0994,ValkenburgaandeGeul,RE10,Limburg
Valkenswaard,GM0858,Valkenswaard,RE09,Oost-Brabant
Veendam,GM0047,Veendam,RE01,Noord-Nederland
Veenendaal,GM0345,Veenendaal,RE03,Midden-Nederland
Veere,GM0717,Veere,RE08,Zeeland-West-Brabant
Veldhoven,GM0861,Veldhoven,RE09,Oost-Brabant
Velsen,GM0453,Velsen,RE04,Noord-Holland
Venlo,GM0983,Venlo,RE10,Limburg
Venray,GM0984,Venray,RE10,Limburg
Vijfheerenlanden,GM1961,Vijfheerenlanden,RE03,Midden-Nederland
Vlaardingen,GM0622,Vlaardingen,RE07,Rotterdam
Vlieland,GM0096,Vlieland,RE01,Noord-Nederland
Vlissingen,GM0718,Vlissingen,RE08,Zeeland-West-Brabant
Voerendaal,GM0986,Voerendaal,RE10,Limburg
Voorschoten,GM0626,Voorschoten,RE06,DenHaag
Voorst,GM0285,Voorst,RE02,Oost-Nederland
Vught,GM0865,Vught,RE09,Oost-Brabant
Waadhoeke,GM1949,Waadhoeke,RE01,Noord-Nederland
Waalre,GM0866,Waalre,RE09,Oost-Brabant
Waalwijk,GM0867,Waalwijk,RE08,Zeeland-West-Brabant
Waddinxveen,GM0627,Waddinxveen,RE06,DenHaag
Wageningen,GM0289,Wageningen,RE02,Oost-Nederland
Wassenaar,GM0629,Wassenaar,RE06,DenHaag
Waterland,GM0852,Waterland,RE04,Noord-Holland
Weert,GM0988,Weert,RE10,Limburg
Weesp,GM0457,Weesp,RE03,Midden-Nederland
West Betuwe,GM1960,WestBetuwe,RE02,Oost-Nederland
West Maas en Waal,GM0668,WestMaasenWaal,RE02,Oost-Nederland
Westerkwartier,GM1969,Westerkwartier,RE01,Noord-Nederland
Westerveld,GM1701,Westerveld,RE01,Noord-Nederland
Westervoort,GM0293,Westervoort,RE02,Oost-Nederland
Westerwolde,GM1950,Westerwolde,RE01,Noord-Nederland
Westland,GM1783,Westland,RE06,DenHaag
Weststellingwerf,GM0098,Weststellingwerf,RE01,Noord-Nederland
Westvoorne,GM0614,Westvoorne,RE07,Rotterdam
Wierden,GM0189,Wierden,RE02,Oost-Nederland
Wijchen,GM0296,Wijchen,RE02,Oost-Nederland
Wijdemeren,GM1696,Wijdemeren,RE03,Midden-Nederland
Wijk bij Duurstede,GM0352,WijkbijDuurstede,RE03,Midden-Nederland
Winterswijk,GM0294,Winterswijk,RE02,Oost-Nederland
Woensdrecht,GM0873,Woensdrecht,RE08,Zeeland-West-Brabant
Woerden,GM0632,Woerden,RE03,Midden-Nederland
De Wolden,GM1690,DeWolden,RE01,Noord-Nederland
Wormerland,GM0880,Wormerland,RE04,Noord-Holland
Woudenberg,GM0351,Woudenberg,RE03,Midden-Nederland
Zaanstad,GM0479,Zaanstad,RE04,Noord-Holland
Zaltbommel,GM0297,Zaltbommel,RE02,Oost-Nederland
Zandvoort,GM0473,Zandvoort,RE04,Noord-Holland
Zeewolde,GM0050,Zeewolde,RE03,Midden-Nederland
Zeist,GM0355,Zeist,RE03,Midden-Nederland
Zevenaar,GM0299,Zevenaar,RE02,Oost-Nederland
Zoetermeer,GM0637,Zoetermeer,RE06,DenHaag
Zoeterwoude,GM0638,Zoeterwoude,RE06,DenHaag
Zuidplas,GM1892,Zuidplas,RE06,DenHaag
Zundert,GM0879,Zundert,RE08,Zeeland-West-Brabant
Zutphen,GM0301,Zutphen,RE02,Oost-Nederland
Zwartewaterland,GM1896,Zwartewaterland,RE02,Oost-Nederland
Zwijndrecht,GM0642,Zwijndrecht,RE07,Rotterdam
Zwolle,GM0193,Zwolle,RE02,Oost-Nederland
